lsoa_code,lsoa_name,solar_connections,latitude,longitude,population,solar_per_1000_pop,potential_lat_score,category,priority_score
E01000060,Barking and Dagenham 006B,7.0,51.55809263564016,0.15736443200222425,2180.0,3.211009174311927,0.6379784853075876,Low potential / Low uptake,0.8616175389563945
E01000061,Barking and Dagenham 006C,26.0,51.56198748219134,0.15791472435878642,1925.0,13.506493506493506,0.6362001591381002,Low potential / High uptake,0.17799802455944963
E01000062,Barking and Dagenham 006D,13.0,51.5537805376956,0.15215544865883446,2218.0,5.861136158701533,0.6399473219535053,Low potential / Low uptake,0.6980345400467252
E01000063,Barking and Dagenham 004A,11.0,51.55606741085789,0.14565225629734585,1778.0,6.186726659167604,0.6389031713464515,Low potential / Low uptake,0.6713730688872009
E01000064,Barking and Dagenham 006E,8.0,51.553528824886065,0.15745105048139324,2296.0,3.484320557491289,0.6400622500952206,Low potential / Low uptake,0.85434612742776
E01000065,Barking and Dagenham 007A,8.0,51.55260953706907,0.14369800010706665,1982.0,4.036326942482341,0.6404819825701141,Low potential / Low uptake,0.820321895539645
E01000066,Barking and Dagenham 011A,5.0,51.54635457842428,0.10596364924203447,2499.0,2.000800320128051,0.6433378991000498,High potential / Low uptake (PRIORITY),0.9682627490371822
E01000067,Barking and Dagenham 011B,6.0,51.54708252485186,0.10099902910800032,2237.0,2.682163611980331,0.6430055301183351,High potential / Low uptake (PRIORITY),0.9219245571031378
E01000068,Barking and Dagenham 016E,6.0,51.54263012895534,0.08797834736674952,1795.0,3.342618384401114,0.6450384246202495,High potential / Low uptake (PRIORITY),0.8890285150783284
E01000069,Barking and Dagenham 011C,4.0,51.543070612299324,0.09995097977420937,2096.0,1.9083969465648853,0.6448373067976241,High potential / Low uptake (PRIORITY),0.981969811617708
E01000070,Barking and Dagenham 011D,4.0,51.54491634208618,0.09208546943896868,2073.0,1.929570670525808,0.6439945753732567,High potential / Low uptake (PRIORITY),0.9762812598069648
E01000071,Barking and Dagenham 011E,21.0,51.53977493971229,0.0996851789790141,2607.0,8.05523590333717,0.6463420594831458,High potential / Low uptake (PRIORITY),0.5869193973177238
E01000072,Barking and Dagenham 017E,5.0,51.54210936974892,0.11093671203820407,2150.0,2.3255813953488373,0.6452761951492298,High potential / Low uptake (PRIORITY),0.9568766594819084
E01000073,Barking and Dagenham 012B,10.0,51.54676307245358,0.11378855201229983,1848.0,5.411255411255411,0.6431513870994255,High potential / Low uptake (PRIORITY),0.7438634625840496
E01000074,Barking and Dagenham 012C,7.0,51.54584842925574,0.12068898406708571,1759.0,3.979533826037522,0.6435689989136739,High potential / Low uptake (PRIORITY),0.8397989569140414
E01000075,Barking and Dagenham 012D,24.0,51.54303814434461,0.12736250806500496,2080.0,11.538461538461538,0.6448521311591966,High potential / High uptake,0.35109969469377
E01000076,Barking and Dagenham 012E,24.0,51.54125095922811,0.12017326557373606,2161.0,11.105969458583989,0.6456681320004676,High potential / High uptake,0.38360070720423495
E01000077,Barking and Dagenham 008F,4.0,51.549618522215944,0.12583572298968246,1719.0,2.326934264107039,0.6418476332874747,Low potential / Low uptake,0.9392887090793793
E01000078,Barking and Dagenham 007B,9.0,51.5522091299075,0.13250007560581936,1899.0,4.739336492890995,0.6406648022330975,Low potential / Low uptake,0.7751949895940539
E01000079,Barking and Dagenham 009E,26.0,51.54641832888598,0.13842573158956542,1716.0,15.151515151515152,0.6433087916338464,High potential / High uptake,0.10650126963233475
E01000080,Barking and Dagenham 007C,9.0,51.54805259188011,0.1318638994827751,1777.0,5.064715813168261,0.6425626126478209,High potential / Low uptake (PRIORITY),0.7635630661332986
E01000081,Barking and Dagenham 007D,11.0,51.550229683737825,0.1384635816569128,1976.0,5.566801619433198,0.6415685864716728,Low potential / Low uptake,0.7255937508444154
E01000082,Barking and Dagenham 007E,5.0,51.55448144940567,0.13868944154813567,1913.0,2.6136957658128592,0.6396272966020219,Low potential / Low uptake,0.9091680184527502
E01000083,Barking and Dagenham 007F,9.0,51.553508700576714,0.12835084668665678,1919.0,4.689942678478374,0.6400714385408992,Low potential / Low uptake,0.7754026733005328
E01000084,Barking and Dagenham 013D,10.0,51.53986489625616,0.1451823166711607,1438.0,6.954102920723227,0.6463009867286775,High potential / Low uptake (PRIORITY),0.6588541603780361
E01000085,Barking and Dagenham 013E,8.0,51.53792451956897,0.15036858681652016,1646.0,4.860267314702308,0.647186932451097,High potential / Low uptake (PRIORITY),0.8005606288144234
E01000086,Barking and Dagenham 013F,4.0,51.53688345578822,0.14579844569199443,1449.0,2.7605244996549345,0.64766226593114,High potential / Low uptake (PRIORITY),0.9405583708842586
E01000087,Barking and Dagenham 020B,9.0,51.530087697671966,0.15013745477243606,1636.0,5.501222493887531,0.6507651030624175,High potential / Low uptake (PRIORITY),0.7768292266798626
E01000088,Barking and Dagenham 020C,9.0,51.53383660635301,0.1555065667684189,1975.0,4.556962025316456,0.6490534098475725,High potential / Low uptake (PRIORITY),0.8299591499426282
E01000089,Barking and Dagenham 020D,10.0,51.53066824047711,0.16039322399725447,1824.0,5.482456140350877,0.6505000362749763,High potential / Low uptake (PRIORITY),0.7767058711831718
E01000090,Barking and Dagenham 020E,15.0,51.521229914036695,0.15456480574457918,1707.0,8.787346221441126,0.6548094288748099,High potential / Low uptake (PRIORITY),0.5821700373893631
E01000091,Barking and Dagenham 022A,20.0,51.52723605402049,0.10886842956147812,2091.0,9.564801530368245,0.6520671190635176,High potential / High uptake,0.5172357658001514
E01000093,Barking and Dagenham 022B,19.0,51.52931406688134,0.10265856346110588,1809.0,10.503040353786623,0.6511183308115499,High potential / High uptake,0.4509213253099771
E01000094,Barking and Dagenham 022C,4.0,51.52353295414512,0.11547662407996108,2461.0,1.6253555465258025,0.6537578966923822,High potential / Low uptake (PRIORITY),1.0460447287401506
E01000095,Barking and Dagenham 018E,43.0,51.52633167255669,0.13488922781422472,2250.0,19.11111111111111,0.6524800455301056,High potential / High uptake,-0.1061149570410663
E01000096,Barking and Dagenham 022D,18.0,51.531719041273746,0.11638322160214172,1658.0,10.856453558504223,0.6500202570253923,High potential / High uptake,0.4221617340925312
E01000097,Barking and Dagenham 023C,4.0,51.56370856294089,0.12904921637162411,1933.0,2.0693222969477496,0.6354143405194462,Low potential / Low uptake,0.9233316152824931
E01000098,Barking and Dagenham 023D,10.0,51.56086633398122,0.12709903152278454,1936.0,5.1652892561983474,0.636712057919153,Low potential / Low uptake,0.7271125448600113
E01000099,Barking and Dagenham 023E,6.0,51.56304987298592,0.13351828257622825,2778.0,2.1598272138228944,0.6357150880762764,Low potential / Low uptake,0.918936893635983
E01000100,Barking and Dagenham 004B,8.0,51.55911203545457,0.13864577864685482,1942.0,4.11946446961895,0.6375130432565816,Low potential / Low uptake,0.7997214551411885
E01000101,Barking and Dagenham 004C,20.0,51.55922735035454,0.1442171431607342,1699.0,11.771630370806356,0.6374603922723497,Low potential / High uptake,0.29809557072404413
E01000102,Barking and Dagenham 007G,9.0,51.55715679819167,0.1332117698030337,1784.0,5.044843049327354,0.6384057740860186,Low potential / Low uptake,0.7436486737631745
E01000103,Barking and Dagenham 014A,8.0,51.53458501482488,0.16473534086229755,1773.0,4.512126339537508,0.6487116982156785,High potential / Low uptake (PRIORITY),0.831152619853463
E01000104,Barking and Dagenham 014B,23.0,51.53886377185864,0.1676560523289584,1915.0,12.010443864229766,0.6467580845094595,High potential / High uptake,0.3299041480624132
E01000105,Barking and Dagenham 014C,14.0,51.539796717333765,0.15349435087158358,2332.0,6.003430531732418,0.646332116160945,High potential / Low uptake (PRIORITY),0.7212995146887731
E01000106,Barking and Dagenham 014D,3.0,51.54011849182683,0.15934525099160823,2207.0,1.359311282283643,0.6461851989476032,High potential / Low uptake (PRIORITY),1.0248246042725944
E01000107,Barking and Dagenham 010C,16.0,51.542489887390076,0.17553775459608933,1786.0,8.958566629339305,0.6451024567309573,High potential / Low uptake (PRIORITY),0.5214077656614347
E01000108,Barking and Dagenham 010D,9.0,51.54282999458687,0.16695779786392734,1915.0,4.699738903394256,0.644947169091114,High potential / Low uptake (PRIORITY),0.7996464743557846
E01000110,Barking and Dagenham 002C,12.0,51.573156165870614,0.14621388663582888,1573.0,7.628734901462174,0.6311007124193225,Low potential / Low uptake,0.5370714946791656
E01000111,Barking and Dagenham 002D,4.0,51.56897238691912,0.14467135100505163,2155.0,1.8561484918793503,0.6330109606149873,Low potential / Low uptake,0.925031603627523
E01000112,Barking and Dagenham 002E,9.0,51.5693629864777,0.1373052419927428,1971.0,4.5662100456621,0.6328326189505131,Low potential / Low uptake,0.7465626355252786
E01000113,Barking and Dagenham 002F,11.0,51.56979556832535,0.13359069434689844,1993.0,5.5193176116407425,0.6326351088278401,Low potential / Low uptake,0.6831085286871382
E01000114,Barking and Dagenham 004E,11.0,51.56440072315928,0.14856082579716295,2419.0,4.54733360892931,0.6350983109625254,Low potential / Low uptake,0.7593634359192717
E01000115,Barnet 009A,12.0,51.63612274347334,-0.1414816397922697,1395.0,8.602150537634408,0.6023511554643907,Low potential / Low uptake,0.3265577482388007
E01000116,Barnet 009B,4.0,51.63363970544818,-0.14663927964360315,1745.0,2.292263610315186,0.603484871887345,Low potential / Low uptake,0.7457574885264312
E01000117,Barnet 010A,8.0,51.633018768134455,-0.1568976421544842,1736.0,4.608294930875576,0.6037683821771858,Low potential / Low uptake,0.5954620078583761
E01000118,Barnet 010B,10.0,51.6306760847433,-0.1516079028455188,2049.0,4.880429477794046,0.6048380148640112,Low potential / Low uptake,0.583091590268879
E01000119,Barnet 009C,4.0,51.629741476106204,-0.13562569483146447,1793.0,2.230897936419409,0.605264742586332,Low potential / Low uptake,0.7588624904347074
E01000120,Barnet 009D,6.0,51.63201404345312,-0.14053879518340004,1495.0,4.013377926421405,0.6042271237913859,Low potential / Low uptake,0.6367813865801776
E01000121,Barnet 010C,6.0,51.62709798207982,-0.1479449300549711,1477.0,4.062288422477996,0.6064717207160811,Low potential / Low uptake,0.6450332312153966
E01000122,Barnet 009E,11.0,51.62582654421817,-0.1374672717018032,1511.0,7.27994705493051,0.6070522394072618,Low potential / Low uptake,0.437180557023224
E01000123,Barnet 010D,5.0,51.622926235451104,-0.14486203019069324,1762.0,2.837684449489217,0.6083764751408883,Low potential / Low uptake,0.734989071629463
E01000124,Barnet 010E,2.0,51.618915043976926,-0.14475707739937174,1867.0,1.0712372790573113,0.6102079225870491,Low potential / Low uptake,0.8600714177824864
E01000126,Barnet 026A,15.0,51.601066939752876,-0.2515398170401391,2274.0,6.596306068601583,0.6183570885170189,Low potential / Low uptake,0.5396713037083649
E01000127,Barnet 024B,2.0,51.606149532162355,-0.2597608403333154,1557.0,1.2845215157353884,0.6160364561193528,Low potential / Low uptake,0.8758461112797555
E01000128,Barnet 024C,2.0,51.601081686484186,-0.25992196304092346,2049.0,0.9760858955588092,0.6183503553895752,Low potential / Low uptake,0.9078643956240947
E01000129,Barnet 024D,4.0,51.60154456572688,-0.2641078869368064,1604.0,2.493765586034913,0.61813901194901,Low potential / Low uptake,0.807349859262643
E01000130,Barnet 021A,6.0,51.60442234295601,-0.2542368472750796,1939.0,3.094378545642084,0.6168250637640778,Low potential / Low uptake,0.7612923334401618
E01000131,Barnet 024E,10.0,51.597805723723745,-0.2569553436770733,2021.0,4.948045522018802,0.6198461088757778,Low potential / Low uptake,0.6552625181084173
E01000132,Barnet 021B,4.0,51.60880062361875,-0.25806376766794087,1617.0,2.473716759431045,0.614826009121595,Low potential / Low uptake,0.7917539233182967
E01000133,Barnet 021C,7.0,51.60760264724224,-0.2518446523482241,1645.0,4.25531914893617,0.615372986444778,Low potential / Low uptake,0.6778180659854852
E01000134,Barnet 024F,5.0,51.6076346326395,-0.2650699217585961,1824.0,2.7412280701754383,0.61535838241141,Low potential / Low uptake,0.7769442510004988
E01000135,Barnet 038A,9.0,51.56842552621504,-0.2020885201094859,1699.0,5.29723366686286,0.6332606486805777,Low potential / Low uptake,0.7008518417439533
E01000136,Barnet 038B,13.0,51.566761059259704,-0.19125687843377445,1486.0,8.748317631224763,0.6340206183240585,Low potential / Low uptake,0.4786214430417505
E01000137,Barnet 041A,5.0,51.56431518255044,-0.2007998944094547,1658.0,3.0156815440289506,0.6351373674699541,Low potential / Low uptake,0.8599140698254898
E01000138,Barnet 040A,7.0,51.56409621558269,-0.2058099127017885,1617.0,4.329004329004329,0.635237344371197,Low potential / Low uptake,0.7743776302165627
E01000139,Barnet 041B,3.0,51.55907877776988,-0.20219025109245442,1388.0,2.161383285302594,0.6375282281965392,Low potential / Low uptake,0.9280891741440549
E01000140,Barnet 041C,9.0,51.562664700411,-0.1966008638918049,1957.0,4.598875830352581,0.6358909518646831,Low potential / Low uptake,0.7600320991492765
E01000141,Barnet 039A,7.0,51.56027584608872,-0.21600423562466156,1864.0,3.755364806866953,0.6369816654783187,Low potential / Low uptake,0.8208645163556003
E01000142,Barnet 040B,3.0,51.56204014910457,-0.21109012422235796,2237.0,1.3410818059901655,0.6361761122472082,Low potential / Low uptake,0.9749327863834079
E01000143,Barnet 041D,2.0,51.55805190791834,-0.20842259710437008,1671.0,1.196888090963495,0.6379970809499523,Low potential / Low uptake,0.9936743068920542
E01000144,Barnet 038C,4.0,51.57415215786331,-0.1990341578144504,1660.0,2.4096385542168677,0.6306459580145123,Low potential / Low uptake,0.8766969303038332
E01000145,Barnet 037A,5.0,51.57264801388182,-0.20555780865418372,1614.0,3.0978934324659235,0.6313327266894301,Low potential / Low uptake,0.8351088717864336
E01000146,Barnet 038D,8.0,51.57039032214151,-0.19767765803879228,1872.0,4.273504273504274,0.6323635535144814,Low potential / Low uptake,0.7633461290071825
E01000147,Barnet 043F,8.0,51.58982303524431,-0.24920669261289555,1913.0,4.181913225300574,0.6234908798928886,Low potential / Low uptake,0.724061069158257
E01000150,Barnet 036A,7.0,51.58498116954059,-0.24341431820204146,2255.0,3.104212860310421,0.6257016002324222,Low potential / Low uptake,0.8059536740882901
E01000152,Barnet 026C,2.0,51.60456671558248,-0.243769290691246,2693.0,0.7426661715558857,0.6167591454752755,Low potential / Low uptake,0.9150361625784852
E01000153,Barnet 026D,5.0,51.604073088541234,-0.24803441159960143,1929.0,2.592016588906169,0.616984527880943,Low potential / Low uptake,0.7950201532169684
E01000154,Barnet 026E,2.0,51.59871392705799,-0.2445023881661372,1915.0,1.0443864229765012,0.6194314374027726,Low potential / Low uptake,0.9089072803692007
E01000156,Barnet 022A,1.0,51.60044117711008,-0.14862152379835003,2026.0,0.4935834155972359,0.6186428019768309,Low potential / Low uptake,0.9409697955138276
E01000157,Barnet 022B,2.0,51.603219609720114,-0.1450340440751495,1582.0,1.2642225031605563,0.6173742129950436,Low potential / Low uptake,0.8840039536817776
E01000158,Barnet 015A,6.0,51.61767046118608,-0.15173313497864283,1464.0,4.0983606557377055,0.6107761796718844,Low potential / Low uptake,0.6646397129555565
E01000159,Barnet 015B,5.0,51.61873372107913,-0.15804526715705597,1786.0,2.799552071668533,0.6102907117932577,Low potential / Low uptake,0.7472576679038722
E01000160,Barnet 015C,9.0,51.613300764936845,-0.14506720050340546,1955.0,4.603580562659846,0.6127713148050934,Low potential / Low uptake,0.6417216774852985
E01000161,Barnet 015D,4.0,51.613480043192006,-0.15248291845005893,2034.0,1.9665683382497543,0.6126894591508123,Low potential / Low uptake,0.8140765332626733
E01000162,Barnet 015E,4.0,51.61204638095471,-0.15825287923741252,1651.0,2.4227740763173835,0.6133440469609572,Low potential / Low uptake,0.7875276971140523
E01000163,Barnet 022C,35.0,51.60773628872621,-0.1452069668887424,1691.0,20.69781194559432,0.6153119678282164,Low potential / High uptake,-0.39977809268698666
E01000164,Barnet 022D,4.0,51.605770274735605,-0.1531636574958786,1712.0,2.336448598130841,0.6162096191433898,Low potential / Low uptake,0.8078094229356808
E01000165,Barnet 022E,9.0,51.60983652085485,-0.15023143821789128,1812.0,4.966887417218543,0.6143530346052313,Low potential / Low uptake,0.625991484882323
E01000166,Barnet 003A,13.0,51.65406968985194,-0.15915978423663085,1620.0,8.024691358024691,0.5941568597487478,Low potential / Low uptake,0.3225683860558964
E01000167,Barnet 002A,3.0,51.6558946671059,-0.1694274972147453,1389.0,2.1598272138228944,0.5933236036071289,Low potential / Low uptake,0.7025715858752385
E01000168,Barnet 003B,20.0,51.649022457713485,-0.15599708828249587,1516.0,13.192612137203167,0.5964613471983389,Low potential / High uptake,-0.0042631103622498695
E01000169,Barnet 003C,10.0,51.65009380471598,-0.16412806049672937,1631.0,6.131207847946046,0.5959721868717125,Low potential / Low uptake,0.45589166361752975
E01000170,Barnet 006A,8.0,51.64582153132772,-0.1638714275578614,1906.0,4.197271773347325,0.5979228402465516,Low potential / Low uptake,0.5925560283213576
E01000171,Barnet 006B,14.0,51.648923603833865,-0.1705901409390014,2289.0,6.116207951070336,0.5965064823374965,Low potential / Low uptake,0.4596014654673882
E01000172,Barnet 003D,10.0,51.6420141834398,-0.15013722155020034,1690.0,5.9171597633136095,0.5996612158915112,Low potential / Low uptake,0.4887444693140372
E01000173,Barnet 006C,10.0,51.641164935803175,-0.15628020241747292,1690.0,5.9171597633136095,0.6000489691127833,Low potential / Low uptake,0.49072355417285607
E01000174,Barnet 006D,5.0,51.64167869208991,-0.16493558556286295,1759.0,2.8425241614553722,0.5998143960076724,Low potential / Low uptake,0.6909712973049136
E01000175,Barnet 006E,11.0,51.637481112918444,-0.15985134355227912,2031.0,5.416051206302314,0.6017309451684724,Low potential / Low uptake,0.5321401244518176
E01000176,Barnet 027A,10.0,51.59579374502165,-0.1792485954894078,1722.0,5.807200929152149,0.620764746961095,Low potential / Low uptake,0.6036607987407338
E01000177,Barnet 029A,15.0,51.59278411399214,-0.17182823203992711,1663.0,9.019843656043296,0.6221388975341537,Low potential / Low uptake,0.4001874399257269
E01000178,Barnet 027B,7.0,51.59557305553459,-0.16478305786836384,1673.0,4.184100418410042,0.620865510337783,Low potential / Low uptake,0.7105179330415596
E01000179,Barnet 029B,4.0,51.594544888419875,-0.17651788768444426,1789.0,2.2358859698155396,0.6213349554013226,Low potential / Low uptake,0.8405577347539708
E01000180,Barnet 029C,5.0,51.58965229519273,-0.17088002923403633,1616.0,3.094059405940594,0.6235688371366244,Low potential / Low uptake,0.7957333303597496
E01000181,Barnet 029D,3.0,51.59097571646023,-0.16369938815920526,1688.0,1.777251184834123,0.6229645836333544,Low potential / Low uptake,0.8789243120187165
E01000182,Barnet 029E,13.0,51.58771238496695,-0.1619715868475467,1619.0,8.029647930821495,0.6244545698800391,Low potential / Low uptake,0.47688255970343163
E01000183,Barnet 033A,13.0,51.58945647222243,-0.1760581990790585,1522.0,8.541392904073588,0.6236582468497135,Low potential / Low uptake,0.43928946488411746
E01000184,Barnet 027C,2.0,51.60154442959896,-0.16601100851964823,1873.0,1.0678056593699945,0.6181390741028959,Low potential / Low uptake,0.9007766940268083
